nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3
20,Ag-Cl-O,291.0597233,4.366022674,14.55298617,-4.32101794,-0.4113648388,FALSE,2.925,3.5812,0.6562,0.73332144,FALSE,FALSE,FALSE,NM,0,0,0,Cubic,6.6271587,6.6271587,6.6271587,90,90,90,Ag,Cl,O,47,17,8
20,Ag-Cl-O,309.0459324,4.111923887,15.45229662,-4.303997147,-0.3943440458,FALSE,2.9022,3.7455,0.8433,0.77076685,TRUE,FALSE,FALSE,NM,0.0010193,3.30E-06,0.000254825,Monoclinic,5.41686,6.967275,8.843055669,67.81934874,90,90,Ag,Cl,O,47,17,8
10,Ag-Ge-O,113.7851435,6.669478851,11.37851435,-5.771882732,-1.307331392,FALSE,0,,,3.74205487,FALSE,TRUE,FALSE,NM,0.001751,1.54E-05,0.0008755,Orthorhombic,2.993014,5.324973,7.139362,90,90,90,Ag,Ge,O,47,32,8
10,Ag-Ge-O,152.2296316,4.985150398,15.22296316,-5.797829883,-1.333278543,FALSE,0,,,0.92899311,FALSE,TRUE,FALSE,NM,0.0005933,3.90E-06,0.00029665,Orthorhombic,5.158475128,9.308652172,3.170383214,89.95567024,90.3853539,90.40350692,Ag,Ge,O,47,32,8
20,Ag-Ge-O,292.2558937,5.193309184,14.61279468,-5.793425529,-1.328874188,FALSE,0,,,1.2229549,FALSE,TRUE,FALSE,NM,0.0001014,3.47E-07,2.54E-05,Orthorhombic,10.40786161,8.850075154,3.17289304,89.98576194,89.99137248,90.09551478,Ag,Ge,O,47,32,8
10,Ag-Ge-O,152.2368732,4.984913263,15.22368732,-5.797279927,-1.332728587,FALSE,0,,,1.55052764,FALSE,TRUE,FALSE,NM,0.000549,3.61E-06,0.0002745,Orthorhombic,3.170383,5.158475,9.308652,90,90,90,Ag,Ge,O,47,32,8
80,Ag-Ge-O,1210.698101,5.014545625,15.13372627,-5.79961146,-1.33506012,FALSE,0,,,1.21599251,FALSE,TRUE,TRUE,AFM,0.0015504,1.28E-06,9.69E-05,Orthorhombic,10.323074,9.273411,12.646994,90,90,90,Ag,Ge,O,47,32,8
40,Ag-I-O,589.652032,6.370565025,14.7413008,-4.544292077,-0.7096730378,FALSE,1.8069,4.5092,2.7023,2.70720376,FALSE,FALSE,FALSE,NM,2.00E-07,3.39E-10,2.50E-08,Orthorhombic,5.71481035,5.98186524,17.24873905,90,90,90,Ag,I,O,47,53,8
40,Ag-I-O,626.0775665,5.999922076,15.65193916,-4.555235327,-0.7206162878,TRUE,2.4375,4.966,2.5285,2.53516372,FALSE,FALSE,FALSE,NM,0,0,0,Orthorhombic,5.66928603,7.23941537,15.25444032,90,90,90,Ag,I,O,47,53,8
20,Ag-I-O,331.9799078,5.657596324,16.59899539,-4.527765454,-0.6931464143,FALSE,1.9765,4.8482,2.8717,2.96723333,FALSE,FALSE,FALSE,NM,0.0024125,7.27E-06,0.000603125,Orthorhombic,5.915064,6.645817,8.445084,90,90,90,Ag,I,O,47,53,8
10,Ag-N-O,125.104504,4.509524595,12.5104504,-5.885683233,-0.6780819148,TRUE,1.8539,1.9753,0.1214,0.18466814,FALSE,FALSE,FALSE,NM,0,0,0,Trigonal,6.201768483,6.201684965,6.201686928,49.08953044,49.08691654,49.08856255,Ag,N,O,47,7,8
40,Ag-N-O,497.8321247,4.532948436,12.44580312,-5.883303851,-0.6757025323,FALSE,2.0089,2.2699,0.261,0.31415586,TRUE,FALSE,FALSE,NM,6.00E-07,1.21E-09,7.50E-08,Orthorhombic,6.90205076,7.20285772,10.01382351,90,90,90,Ag,N,O,47,7,8
40,Ag-N-O,537.0054543,4.202280132,13.42513636,-5.880653645,-0.6730523268,FALSE,2.1176,2.4497,0.3321,1.2405702,TRUE,FALSE,FALSE,NM,0.0004156,7.74E-07,5.20E-05,Orthorhombic,7.077779,7.419143,10.226522,90,90,90,Ag,N,O,47,7,8
5,Ag-N-O,66.94305711,4.213744204,13.38861142,-5.85451189,-0.6469105718,FALSE,1.7204,1.898,0.1776,0.44174563,FALSE,FALSE,FALSE,NM,0,0,0,Trigonal,4.151836391,4.151836044,4.151836391,77.22416012,77.22415774,77.22416012,Ag,N,O,47,7,8
40,Ag-O-P,523.5448041,4.740841827,13.0886201,-6.578507002,-1.955466527,TRUE,1.9166,3.3521,1.4355,1.36701923,FALSE,FALSE,FALSE,NM,0,0,0,Monoclinic,5.97752081,7.317044275,13.59925276,61.66666124,90,90,Ag,O,P,47,8,15
